Date	Payee	Amount	Category	Memo	Status	Number
2022-01-22	MIGUEL FERREIRA	-260	Junk:T		R	
2022-01-22	RELAY	-25,3	Junk:Tabac		R	
2022-01-22	APPLE	-2,99	Loisirs:Service Numérique		R	
2022-01-22	MICROSOFT	-5,9	Loisirs:Service Numérique		R	
2022-01-22	SA SUED	-19,99	Loisirs:Service Numérique		R	
2022-01-22	UBER	-32,76	Transport:VTC-Taxi		R	
2022-01-22	UBER	-31,04	Transport:VTC-Taxi		R	
2022-01-23	APPLE	-8,99	Loisirs:Service Numérique		R	
2022-01-23	UBER	1,6	Pending:Pending VTC-Taxi		R	
2022-01-24	FREE MOBILE	-23,49	Logement:Frais généraux:Téléphone mobile		R	
2022-01-25	MONOPRIX	-32,52	Alimentation:Supermarché		R	
2022-01-25	POLE EMPLOI DR IDF	100	Allocations et Sécurité sociale:Allocation de Retour à lEmploi		R	
2022-01-25	COFIROUTE	-1,6	Automobile:Péage		R	
2022-01-25	MIGUEL FERREIRA	-370	Junk:T		R	
2022-01-25	LE LONGCHAMP	-25,2	Junk:Tabac		R	
2022-01-25	RELAY	-21	Junk:Tabac		R	
2022-01-25	AMAZON	9,99	Remboursements divers:Retour marchandise		R	
2022-01-25	BONNEFOY JULIEN	1500	Transaction interne		R	
2022-01-25	UBEEQO	-77	Transport:Location de véhicule		R	
2022-01-26	FRANPRIX	-8,7	Alimentation:Supermarché		R	
2022-01-26	MONOPRIX	-4,39	Alimentation:Supermarché		R	
2022-01-26	MONOPRIX	-16	Alimentation:Supermarché		R	
2022-01-26	BP	-20	Automobile:Carburant		R	
2022-01-26	SAGS LOBAU	-4,2	Automobile:Stationnement		R	
2022-01-26	DARTY	-94,98	Logement:Equipement		R	
2022-01-26	FREE MOBILE	-229	Logement:Frais généraux:Téléphone mobile		R	
2022-01-26	APPLE	-39,99	Loisirs:Service Numérique		R	
2022-01-26	UBER	-9,65	Transport:VTC-Taxi		R	
2022-01-27	MONOPRIX	-16,79	Alimentation:Supermarché		R	
2022-01-27	LYDIA	-1	Frais bancaires		R	
2022-01-27	AMAZON	-40,96	Logement:Equipement		R	
2022-01-27	AMAZON	-231,78	Logement:Equipement		R	
2022-01-27	MAISON BERGER PARIS	-40	Logement:Equipement		R	
2022-01-27	UBEEQO	2,8	Pending:Pending Location de véhivcule		R	
2022-01-28	MIGUEL FERREIRA	-240	Junk:T		R	
2022-01-28	VELOCIVETTE	-21	Junk:Tabac		R	
2022-01-28	UMEN MEDICAL	-3,9	Non attribué		R	
2022-01-28	UBEEQO	-64	Transport:Location de véhicule		R	
2022-01-29	SELECTA	-1,2	Alimentation:TakeAway		R	
2022-01-29	SELECTA	-1,2	Alimentation:TakeAway		R	
2022-01-29	LYDIA	-0,5	Frais bancaires		R	
2022-01-29	MIGUEL FERREIRA	13	Remboursements divers:Remboursements divers		R	
2022-01-30	SITIS MARKET	-4,68	Alimentation:Supermarché		R	
2022-01-30	LYDIA	-0,5	Frais bancaires		R	
2022-01-30	LE LONGCHAMP	-15,8	Junk:Tabac		R	
2022-01-30	ZENCO	-5	Loisirs:Service Numérique		R	
2022-01-30	MIGUEL FERREIRA	20	Remboursements divers:Remboursements divers		R	
2022-01-31	LYDIA	-7,9	Frais bancaires		R	
2022-01-31	MIGUEL FERREIRA	-140	Junk:T		R	
2022-01-31	LA BANQUE POSTALE	-30	Retrait despèces		R	
2022-01-31	BONNEFOY JULIEN	178,38	Transaction interne		R	
2022-02-01	LYDIA	-1	Frais bancaires		R	
2022-02-01	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-02-07	POLE EMPLOI DR IDF	806,09	Allocations et Sécurité sociale:Allocation de Retour à lEmploi		R	
2022-02-07	DIRECT ASSURANCE	-20,18	Assurance:Assurance Habitation		R	
2022-02-07	MR OU MME BONNEFOY	100	Dettes personnelles		R	
2022-02-07	AMAZON	-4,95	Logement:Equipement		R	
2022-02-07	FREE HAUTDEBIT	-58,35	Logement:Frais généraux:Internet-TV-Téléphone		R	
2022-02-07	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-02-07	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-02-07	SA SUED	-38,97	Loisirs:Service Numérique		R	
2022-02-08	MONOPRIX	-41,94	Alimentation:Supermarché		R	
2022-02-08	OLIVIER LECHABLE	-122	Logement:Loyer		R	
2022-02-08	CCM SAINT CYR LECOL	-70	Retrait despèces		R	
2022-02-08	REVOLUT	-180	Transaction interne		R	
2022-02-09	UBER	-8	Transport:VTC-Taxi		R	
2022-02-09	UBER	-28,6	Transport:VTC-Taxi		R	
2022-02-09	UBER	-26,45	Transport:VTC-Taxi		R	
2022-02-10	MONOPRIX	-41,29	Alimentation:Supermarché		R	
2022-02-10	LE LONGCHAMP	-26,3	Junk:Tabac		R	
2022-02-10	AMAZON	-28,98	Logement:Equipement		R	
2022-02-10	AMAZON	-13,99	Logement:Equipement		R	
2022-02-10	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-02-10	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-02-11	E.LECLERC	-21,19	Alimentation:Supermarché		R	
2022-02-11	AMAZON	-27,99	Logement:Equipement		R	
2022-02-11	UBER	-27,05	Transport:VTC-Taxi		R	
2022-02-11	UBER	-16,97	Transport:VTC-Taxi		R	
2022-02-12	MICROSOFT	-7	Loisirs:Service Numérique		R	
2022-02-12	NORDVPN	-12,71	Loisirs:Service Numérique		R	
2022-02-13	MONOPRIX	-47,48	Alimentation:Supermarché		R	
2022-02-13	JETBRAINS	-6,36	Loisirs:Service Numérique		R	
2022-02-14	MONOPRIX	-33,64	Alimentation:Supermarché		R	
2022-02-14	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-02-14	LA BANQUE POSTALE	-60	Retrait despèces		R	
2022-02-14	FONCIA AD IMMOBILIER GERANCE	705	Revenus fonciers		R	
2022-02-14	PHARMACIE RENAULT SC	-40,08	Santé:Paharmacie		R	
2022-02-15	L ECLAIR D ARCY	-42	Alimentation:Boulangerie		R	
2022-02-15	E.LECLERC	-34,79	Alimentation:Supermarché		R	
2022-02-15	LE LONGCHAMP	-28	Junk:Tabac		R	
2022-02-15	AMAZON	-7,25	Logement:Equipement		R	
2022-02-15	LA BANQUE POSTALE	-20	Retrait despèces		R	
2022-02-15	PHARMACIE CC LECL	-32,9	Santé:Paharmacie		R	
2022-02-15	PHARMACIE RENAULT SC	-5,14	Santé:Paharmacie		R	
2022-02-15	UBER	-22,02	Transport:VTC-Taxi		R	
2022-02-15	UBER	-23,78	Transport:VTC-Taxi		R	
2022-02-16	MY MARKET	-15,99	Alimentation:Supermarché		R	
2022-02-17	PREMIERE CLASSE	-45,5	Logement		R	
2022-02-17	AMAZON	-50,99	Logement:Equipement		R	
2022-02-18	MONOPRIX	-32,04	Alimentation:Supermarché		R	
2022-02-18	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-02-18	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-02-18	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-02-18	AMAZON	12,99	Remboursements divers:Retour marchandise		R	
2022-02-19	LE LONGCHAMP	-27,9	Junk:Tabac		R	
2022-02-19	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-02-20	LA BANQUE POSTALE	-20	Retrait despèces		R	
2022-02-21	MONOPRIX	-35,14	Alimentation:Supermarché		R	
2022-02-22	LA BANQUE POSTALE	-70	Retrait despèces		R	
2022-02-23	SELECTA	-3	Alimentation:TakeAway		R	
2022-02-23	SELECTA	-3	Alimentation:TakeAway		R	
2022-02-23	APPLE	-2,99	Loisirs:Service Numérique		R	
2022-02-24	ATM	-50	Retrait despèces		R	
2022-02-28	LYDIA	-7,9	Frais bancaires		R	
2022-03-01	MONOPRIX	-58,34	Alimentation:Supermarché		R	
2022-03-01	POLE EMPLOI DR IDF	733,69	Allocations et Sécurité sociale:Allocation de Retour à lEmploi		R	
2022-03-01	LE LONGCHAMP	-27,9	Junk:Tabac		R	
2022-03-01	FREE MOBILE	-52,98	Logement:Frais généraux:Téléphone mobile		R	
2022-03-01	UBER	2,43	Pending:Pending VTC-Taxi		R	
2022-03-01	UBER	3,22	Pending:Pending VTC-Taxi		R	
2022-03-01	UBER	-31,69	Transport:VTC-Taxi		R	
2022-03-01	UBER	-26,14	Transport:VTC-Taxi		R	
2022-03-02	SELECTA	-2,4	Alimentation:TakeAway		R	
2022-03-02	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-03-02	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-03-02	SC-S E I P DIST	-2,5	Non attribué		R	
2022-03-03	MONOPRIX	-27,08	Alimentation:Supermarché		R	
2022-03-03	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-03-03	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-03-03	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-03-03	MICROSOFT	-6,3	Loisirs:Service Numérique		R	
2022-03-04	MONOPRIX	-31,8	Alimentation:Supermarché		R	
2022-03-04	DIRECT ASSURANCE	-20,18	Assurance:Assurance Habitation		R	
2022-03-04	AMAZON DIGIT	-2,99	Loisirs:Service Numérique		R	
2022-03-04	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-03-04	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-03-05	SITIS MARKET	-10,16	Alimentation:Supermarché		R	
2022-03-05	LE LONGCHAMP	-27,9	Junk:Tabac		R	
2022-03-06	MONOPRIX	-33,71	Alimentation:Supermarché		R	
2022-03-06	MICROSOFT	-7	Loisirs:Service Numérique		R	
2022-03-06	REVOLUT	-245	Transaction interne		R	
2022-03-07	FREE HAUTDEBIT	-57,39	Logement:Frais généraux:Internet-TV-Téléphone		R	
2022-03-08	ARLOME	-3	Junk:Tabac		R	
2022-03-08	SNCF	-5	Transport:Transports en commun		R	
2022-03-09	SELECTA	-3	Alimentation:TakeAway		R	
2022-03-09	SELECTA	-3	Alimentation:TakeAway		R	
2022-03-09	SELECTA	-3	Alimentation:TakeAway		R	
2022-03-09	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-03-09	RATP	-5	Transport:Transports en commun		R	
2022-03-09	UBER	-8,14	Transport:VTC-Taxi		R	
2022-03-13	MARCHAND NON COMMUNIQUÉ	3,99	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-03-13	MARCHAND NON COMMUNIQUÉ	3,99	Remboursements divers:Annulation/Régularistation transaction carte bancaire		R	
2022-03-14	MONOPRIX	-3,53	Alimentation:Supermarché		R	
2022-03-15	MONOPRIX	-22,34	Alimentation:Supermarché		R	
2022-03-15	VANHOUTTE	200	Remboursements divers:Remboursements divers		R	
2022-03-17	AMAZON	-6,76	Logement:Equipement		R	
2022-03-17	APPLE	-79,99	Loisirs:Service Numérique		R	
2022-03-17	NORDVPN	-12,71	Loisirs:Service Numérique		R	
2022-03-18	MAISON BERGER PARIS	-33,9	Logement:Equipement		R	
2022-03-18	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-03-18	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-03-18	KORUM	166	Remboursements divers:Remboursements divers		R	
2022-03-19	MONOPRIX	-32,73	Alimentation:Supermarché		R	
2022-03-20	MONOPRIX	-21,54	Alimentation:Supermarché		R	
2022-03-20	AMAZON DIGIT	-4,99	Loisirs:Service Numérique		R	
2022-03-20	UBER	-13,35	Transport:VTC-Taxi		R	
2022-03-21	LINKEDIN	-29,74	Loisirs:Service Numérique		R	
2022-03-22	PICARD	-6	Alimentation:Supermarché		R	
2022-03-22	LA BANQUE POSTALE	-30	Retrait despèces		R	
2022-03-23	STARBUCKS	-9,45	Alimentation:TakeAway		R	
2022-03-23	RATP	-2,8	Transport:Transports en commun		R	
2022-03-23	SNCF	-5	Transport:Transports en commun		R	
2022-03-24	LA BANQUE POSTALE	-40	Retrait despèces		R	
2022-03-25	LE FONTENOY	-48,59	Junk:Tabac		R	
2022-03-25	MINT	-109,3	Logement:Frais généraux:Electricité		R	
2022-03-25	FREE MOBILE	-39,98	Logement:Frais généraux:Téléphone mobile		R	
2022-03-25	MICROSOFT	-6,3	Loisirs:Service Numérique		R	
2022-03-25	ZENCO	-11	Loisirs:Service Numérique		R	
2022-03-25	LA SOCIETE GENERALE	-50	Retrait despèces		R	
2022-03-25	FONCIA AD IMMOBILIER GERANCE	1017,05	Revenus fonciers		R	
2022-03-26	MONOPRIX	-38,52	Alimentation:Supermarché		R	
2022-03-26	APPLE	-14,99	Loisirs:Service Numérique		R	
2022-03-26	APPLE	-2,99	Loisirs:Service Numérique		R	
2022-03-26	JETBRAINS	-6,36	Loisirs:Service Numérique		R	
2022-03-26	PHARMACIE RENAULT SC	-44,16	Santé:Paharmacie		R	
2022-03-26	UBER	-14,66	Transport:VTC-Taxi		R	
2022-03-26	UBER	-43,63	Transport:VTC-Taxi		R	
2022-03-27	UBER	2,3	Pending:Pending VTC-Taxi		R	
2022-03-27	UBER	2,9	Pending:Pending VTC-Taxi		R	
2022-03-27	LA BANQUE POSTALE	-80	Retrait despèces		R	
2022-03-27	UBER	-35,32	Transport:VTC-Taxi		R	
2022-03-27	UBER	-43,36	Transport:VTC-Taxi		R	
2022-03-27	UBER	-34,29	Transport:VTC-Taxi		R	
2022-03-28	MONOPRIX	-30,69	Alimentation:Supermarché		R	
2022-03-28	MR OU MME BONNEFOY	150	Dettes personnelles		R	
2022-03-28	SHOP AND CLEAN B.V.	-57,18	Junk:G		R	
2022-03-28	AMAZON	-32,99	Logement:Equipement		R	
2022-03-28	MEETFRANZ	-4,79	Loisirs:Service Numérique		R	
2022-03-28	UBER	27,66	Pending:Pending VTC-Taxi		R	
2022-03-28	UBER	27,39	Pending:Pending VTC-Taxi		R	
2022-03-28	ATM	-150	Retrait despèces		R	
2022-03-28	UBER	-26,92	Transport:VTC-Taxi		R	
2022-03-28	UBER	-27,39	Transport:VTC-Taxi		R	
2022-03-28	UBER	-27,66	Transport:VTC-Taxi		R	
2022-03-28	UBER	-26,35	Transport:VTC-Taxi		R	
2022-03-29	LE HAVANE	-25,2	Junk:Tabac		R	
2022-03-29	UBER	30,46	Pending:Pending VTC-Taxi		R	
2022-03-29	SNCF	-5	Transport:Transports en commun		R	
2022-03-29	UBER	-28,71	Transport:VTC-Taxi		R	
2022-03-29	UBER	-30,46	Transport:VTC-Taxi		R	
2022-03-30	MCDONALDS	-32,6	Alimentation:Fast food		R	
2022-03-30	MY MARKET	-6	Alimentation:Supermarché		R	
2022-03-30	LA SOCIETE GENERALE	-20	Retrait despèces		R	
2022-03-30	UBER	-14,53	Transport:VTC-Taxi		R	
2022-03-31	LYDIA	-7,9	Frais bancaires		R	
2022-04-01	POLE EMPLOI DR IDF	806,09	Allocations et Sécurité sociale:Allocation de Retour à lEmploi		R	
2022-04-02	C&A FRANCE	-59,97	Soins:Habillement		R	
2022-04-02	KIABI	-48	Soins:Habillement		R	
2022-04-02	UBER	-13,71	Transport:VTC-Taxi		R	
2022-04-03	MONOPRIX	-26,18	Alimentation:Supermarché		R	
2022-04-03	AMAZON	-59,99	Logement:Equipement		R	
2022-04-04	SITIS MARKET	-12,35	Alimentation:Supermarché		R	
2022-04-04	LE LONGCHAMP	-38,5	Junk:Tabac		R	
2022-04-04	JULES	-114,99	Soins:Habillement		R	
2022-04-05	STARBUCKS	-11,6	Alimentation:TakeAway		R	
2022-04-05	RELAY	-21	Junk:Tabac		R	
2022-04-05	RELAY	-9,4	Junk:Tabac		R	
2022-04-05	OUI ENERGY	-109,3	Logement:Frais généraux:Electricité		R	
2022-04-05	BUY PARIS DUTY	-10	Non attribué		R	
2022-04-05	EASYJET	-12,99	Transport:Avion		R	
2022-04-05	EASYJET	-12,49	Transport:Avion		R	
2022-04-05	UBER	-31,74	Transport:VTC-Taxi		R	
2022-04-06	CANAS Y TAPAS	-33,3	Alimentation:Restaurant		R	
2022-04-06	DIRECT ASSURANCE	-20,18	Assurance:Assurance Habitation		R	
2022-04-06	FREE HAUTDEBIT	-69,48	Logement:Frais généraux:Internet-TV-Téléphone		R	
2022-04-06	MICROSOFT	-7	Loisirs:Service Numérique		R	
2022-04-06	MMA IARD	1,43	Remboursements divers:Remboursement dassurance		R	
2022-04-07	PANASIA CAP3000	-29,25	Alimentation:Restaurant		R	
2022-04-08	MCDONALDS	-9,5	Alimentation:Fast food		R	
2022-04-08	STARBUCKS	-5,95	Alimentation:TakeAway		R	
2022-04-08	TAXI BANLIEUE	-75	Frais professionels:Remboursées		R	
2022-04-08	RELAY	-4,4	Junk:Tabac		R	
2022-04-08	IBIS STYLES NFC	-2,5	Logement		R	
2022-04-08	JULES	35	Remboursements divers:Retour marchandise		R	
2022-04-10	MONOPRIX	-21,95	Alimentation:Supermarché		R	
2022-04-11	EDGAR GASTRONOMI	-17,9	Alimentation:Restaurant		R	
2022-04-11	PANASIA CAP3000	-27,8	Alimentation:Restaurant		R	
2022-04-11	IBIS STYLES NFC	-5	Logement		R	
2022-04-12	LA CANTINA DU	-18,5	Alimentation:Restaurant		R	
2022-04-12	PANASIA CAP3000	-27,8	Alimentation:Restaurant		R	
2022-04-12	STARBUCKS	-5,95	Alimentation:TakeAway		R	
2022-04-12	MR OU MME BONNEFOY	150	Dettes personnelles		R	
2022-04-13	CHEZ MAX	-13,4	Alimentation:Restaurant		R	
2022-04-13	PETIT FENNEC	-21	Junk:Tabac		R	
2022-04-13	ALRO	-18,5	Non attribué		R	
2022-04-13	FONCIA AD IMMOBILIER GERANCE	705	Revenus fonciers		R	
2022-04-14	LA CANTINA DU	-19	Alimentation:Restaurant		R	
2022-04-14	PANASIA CAP3000	-28,3	Alimentation:Restaurant		R	
2022-04-14	MONOPRIX	-5,02	Alimentation:Supermarché		R	
2022-04-14	STARBUCKS	-5,95	Alimentation:TakeAway		R	
2022-04-14	JETBRAINS	-6,36	Loisirs:Service Numérique		R	
2022-04-15	JAMIES DELI	-7,6	Alimentation:Restaurant		R	
2022-04-15	MR OU MME BONNEFOY	200	Dettes personnelles		R	
2022-04-15	RELAY	-27,1	Junk:Tabac		R	
2022-04-15	IBIS STYLES NFC	-19	Logement		R	
2022-04-15	OLIVIER LECHABLE	-244	Logement:Loyer		R	
2022-04-15	AMAZON DIGIT	-1,99	Loisirs:Service Numérique		R	
2022-04-15	UBER	-43,03	Transport:VTC-Taxi		R	
2022-04-16	MONOPRIX	-48,6	Alimentation:Supermarché		R	
2022-04-16	AMAZON DIGIT	-3,99	Loisirs:Service Numérique		R	
2022-04-16	UBER	2,2	Pending:Pending VTC-Taxi		R	
2022-04-16	UBER	-34,37	Transport:VTC-Taxi		R	
2022-04-16	UBER	-34,96	Transport:VTC-Taxi		R	
2022-04-17	NICOLE ET LOUIS	-46,4	Alimentation:Restaurant		R	
2022-04-17	MONOPRIX	-37,25	Alimentation:Supermarché		R	
2022-04-17	NORDVPN	-12,71	Loisirs:Service Numérique		R	
2022-04-17	UBER	2,7	Pending:Pending VTC-Taxi		R	
2022-04-17	UBER	-15,18	Transport:VTC-Taxi		R	
2022-04-18	MME MERCIER CELINE	100	Dettes personnelles		R	
2022-04-18	RELAY	-21	Junk:Tabac		R	
2022-04-18	IBIS STYLES NFC	-5	Logement		R	
2022-04-18	LA BANQUE POSTALE	-120	Retrait despèces		R	
2022-04-18	UBER	-38,85	Transport:VTC-Taxi		R	
2022-04-19	PANASIA CAP3000	-28,3	Alimentation:Restaurant		R	
2022-04-19	MONOPRIX	-2,25	Alimentation:Supermarché		R	
2022-04-19	MICROSOFT	-3,24	Loisirs:Service Numérique		R	
2022-04-19	PHARMACIE CAP	-10,9	Santé:Paharmacie		R	
2022-04-19	UBER	-24,7	Transport:VTC-Taxi		R	
2022-04-19	UBER	-16,47	Transport:VTC-Taxi		R	
2022-04-20	EDGAR GASTRONOMI	-23,2	Alimentation:Restaurant		R	
2022-04-20	LINKEDIN	-29,74	Loisirs:Service Numérique		R	
2022-04-20	CREDIT DU NORD	-70	Retrait despèces		R	
2022-04-21	ASCODEV CDG	-9,3	Automobile:Stationnement		R	
2022-04-22	CMNE DE PARIS	-50	Automobile:Stationnement		R	
2022-04-22	MME MERCIER CELINE	100	Dettes personnelles		R	
2022-04-22	MR OU MME BONNEFOY	150	Dettes personnelles		R	
2022-04-22	CIVETTE D AUT	-17,7	Junk:Tabac		R	
2022-04-22	LES 2 STATIONS	-17,5	Junk:Tabac		R	
2022-04-22	APPLE	-2,99	Loisirs:Service Numérique		R	
2022-04-22	MICROSOFT	-5,73	Loisirs:Service Numérique		R	
2022-04-23	LA BANQUE POSTALE	-150	Retrait despèces		R	
2022-04-24	LA BANQUE POSTALE	-20	Retrait despèces		R	
2022-04-25	ARLOME	-4,4	Junk:Tabac		R	
2022-04-26	CREPERIE BOUFFAY	-22	Alimentation:Restaurant		R	
2022-04-26	MME MERCIER CELINE	50	Dettes personnelles		R	
2022-04-26	RELAY	-21	Junk:Tabac		R	
2022-04-27	TOTAL	-8,7	Automobile:Carburant		R	
2022-04-27	MME MERCIER CELINE	50	Dettes personnelles		R	
2022-04-27	FREE MOBILE	-35,98	Logement:Frais généraux:Téléphone mobile		R	
2022-04-28	PETRIN RIBEIROU	-6,6	Alimentation:Boulangerie		R	
2022-04-28	MCDONALDS	-15,35	Alimentation:Fast food		R	
2022-04-28	MOULIN D AUTEUIL	-18,7	Alimentation:Restaurant		R	
2022-04-28	LA BANQUE POSTALE	-300	Retrait despèces		R	
2022-04-28	HORUS PHARMA	2163,98	Revenus du travail:Salaire brut:Salaire net		R	
2022-04-29	E.LECLERC	-28,06	Alimentation:Supermarché		R	
2022-04-30	E.LECLERC	-26,7	Alimentation:Supermarché		R	
2022-04-30	LYDIA	-7,9	Frais bancaires		R	
2022-04-30	PARIS EXELMANS	-100	Retrait despèces		R	
2022-04-30	PHARMACIE RENAULT SC	-37,24	Santé:Paharmacie		R	
2022-05-02	MONOPRIX	-32,77	Alimentation:Supermarché		R	
2022-05-03	LE LONGCHAMP	-26,63	Junk:Tabac		R	
2022-05-03	LODING	-201	Soins:Habillement		R	
2022-05-04	E.LECLERC	-8	Alimentation:Supermarché		R	
2022-05-04	DIRECT ASSURANCE	-22,41	Assurance:Assurance Habitation		R	
2022-05-04	OUI ENERGY	-232,66	Logement:Frais généraux:Electricité		R	
2022-05-04	LA BANQUE POSTALE	-30	Retrait despèces		R	
2022-05-04	LA BANQUE POSTALE	-120	Retrait despèces		R	
